assists,gameDate,gameId,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,opponentTeamAbbrev,otLosses,penaltyMinutes,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerWeight,points,savePctg,saves,shotsAgainst,shutouts,teamAbbrev,ties,timeOnIce,wins
0,2018-04-06T23:30:00Z,2017021253,1,1,0,0,0.0,0,OTT,0,0,USA,1991-08-13,NH,,,,Casey,72,8479193,0,1,DeSmith,Casey DeSmith,USA,G,L,181,0,1.0,35,35,1,PIT,0,3600,1
1,2018-04-06T23:30:00Z,2017021254,1,1,0,5,5.0462,0,BUF,0,0,RUS,1994-07-25,,19,1,2012,Andrei,75,8476883,0,1,Vasilevskiy,Andrei Vasilevskiy,RUS,G,L,207,1,0.8437,27,32,0,TBL,0,3567,1
0,2018-04-06T23:00:00Z,2017021256,1,1,0,5,5.2417,1,ANA,0,0,USA,1983-04-11,MO,172,6,2002,Mike,74,8470093,0,1,McKenna,Mike McKenna,USA,G,R,183,0,0.8484,28,33,0,DAL,0,3434,0
0,2018-04-06T23:00:00Z,2017021256,1,1,0,3,3.0041,0,DAL,0,0,USA,1980-07-17,MI,138,5,1999,Ryan,75,8468011,0,1,Miller,Ryan Miller,USA,G,L,173,0,0.8846,23,26,0,ANA,0,3595,1
0,2018-04-05T23:30:00Z,2017021247,1,1,0,3,3.0491,1,FLA,0,0,FIN,1987-03-10,,21,1,2005,Tuukka,75,8471695,0,1,Rask,Tuukka Rask,FIN,G,L,176,0,0.9142,32,35,0,BOS,0,3542,0
0,2018-04-05T23:30:00Z,2017021246,1,1,0,3,3.0,0,DET,0,0,FIN,1983-08-29,,,,,Antti,74,8474550,0,1,Niemi,Antti Niemi,FIN,G,L,215,0,0.8846,23,26,0,MTL,0,3600,1
0,2018-04-05T23:30:00Z,2017021247,1,1,0,2,2.0,0,BOS,0,0,CAN,1979-04-04,QC,4,1,1997,Roberto,75,8466141,0,1,Luongo,Roberto Luongo,CAN,G,L,217,0,0.9285,26,28,0,FLA,0,3600,1
0,2018-04-05T23:30:00Z,2017021251,1,1,0,5,5.0195,0,LAK,1,0,USA,1987-07-28,MN,112,4,2005,Alex,72,8471774,0,1,Stalock,Alex Stalock,USA,G,L,191,0,0.8214,23,28,0,MIN,0,3586,0
0,2018-04-05T23:30:00Z,2017021246,1,1,0,4,4.0793,1,MTL,0,0,CAN,1991-11-05,ON,,,,Jared,78,8477225,0,1,Coreau,Jared Coreau,CAN,G,L,220,0,0.8571,24,28,0,DET,0,3530,0
0,2018-04-05T23:30:00Z,2017021252,1,1,0,2,2.0078,0,COL,0,0,CAN,1990-01-10,BC,,,,Martin,76,8474889,0,1,Jones,Martin Jones,CAN,G,L,195,0,0.92,23,25,0,SJS,0,3586,1
