faceoffWinPctg,faceoffsLost,faceoffsWon,gameDate,gameId,gameLocationCode,gamesPlayed,goalsAgainst,goalsFor,losses,opponentTeamAbbrev,otLosses,penaltyKillPctg,points,ppGoalsAgainst,ppGoalsFor,ppOpportunities,ppPctg,shNumTimes,shootoutGamesLost,shootoutGamesWon,shotsAgainst,shotsFor,teamAbbrev,teamId,ties,wins
0.4838,32,30,2017-11-19T22:00:00Z,2017020308,H,1,2,4,0,LAK,0,1.0,2,0,0,1,0.0,1,0,0,29,40,VGK,54,0,1
0.4259,31,23,2018-02-16T00:30:00Z,2017020889,H,1,1,4,0,VAN,0,1.0,2,0,0,3,0.0,1,0,0,44,30,SJS,28,0,1
0.5142,34,36,2018-01-21T00:00:00Z,2017020713,R,1,3,4,0,OTT,0,0.5,2,1,1,3,0.3333,2,0,0,18,33,TOR,10,0,1
0.6,20,30,2018-01-03T00:00:00Z,2017020603,R,1,1,5,0,NYI,0,1.0,2,0,0,3,0.0,4,0,0,26,38,BOS,6,0,1
0.5,36,36,2017-10-12T23:30:00Z,2017020051,H,1,4,5,0,PIT,0,0.8,2,1,2,5,0.4,5,0,0,40,34,TBL,14,0,1
0.5142,34,36,2017-10-14T22:00:00Z,2017020072,R,1,2,6,0,ARI,0,0.6666,2,1,2,3,0.6666,3,0,0,31,29,BOS,6,0,1
0.5178,27,29,2017-12-13T00:00:00Z,2017020470,R,1,2,7,0,CBJ,0,1.0,2,0,2,4,0.5,2,0,0,29,38,EDM,22,0,1
0.3571,36,20,2018-03-29T23:30:00Z,2017021196,H,1,2,6,0,WPG,0,1.0,2,0,0,2,0.0,1,0,0,34,42,CHI,16,0,1
0.5,32,32,2018-02-02T00:00:00Z,2017020783,R,1,2,3,0,WPG,0,1.0,2,0,1,2,0.5,3,0,0,28,31,VGK,54,0,1
0.5849,22,31,2018-04-07T23:30:00Z,2017021270,R,1,2,4,0,LAK,0,1.0,2,0,0,1,0.0,3,0,0,36,18,DAL,25,0,1
0.6363,20,35,2017-11-11T00:30:00Z,2017020246,H,1,0,5,0,NYI,0,1.0,2,0,1,4,0.25,4,0,0,14,29,DAL,25,0,1
0.5671,29,38,2018-02-09T00:30:00Z,2017020833,R,1,2,4,0,CHI,0,0.75,2,1,0,1,0.0,4,0,0,39,30,DAL,25,0,1
